Invoice Number,Invoice Date,Order ID,Reference Number,Customer Name,Place of Supply,Invoice Status,Payment Mode,Total,Currency
INV/2026/4186,01/08/2026,order_XzYEXz6oiAR5VS,RCPT-D2C-100186,Aarav Nair,Gurugram,Paid,Card,803.34,INR
INV/2026/4187,24/08/2026,order_Fx7Jb1MCvf2uYb,RCPT-D2C-100187,Ishaan Gupta,Hyderabad,Paid,Upi,1846.43,INR
INV/2026/4188,07/08/2026,order_yWovpDchnr5Cyc,RCPT-D2C-100188,Anika Bhat,Bengaluru,Paid,Card,308.88,INR
INV/2026/4189,11/08/2026,order_gz7ysg8A2zXatq,RCPT-D2C-100189,Myra Verma,Chennai,Paid,Upi,3236.07,INR
INV/2026/4190,19/08/2026,order_VKk2if8R27Ff71,RCPT-D2C-100190,Arjun Verma,Coimbatore,Paid,Upi,1224.01,INR
INV/2026/4191,03/08/2026,order_3bc4uzQFucpXGC,RCPT-D2C-100191,Kavya Nair,Indore,Paid,Netbanking,707.70,INR
INV/2026/4192,12/08/2026,order_9HCv1JzrSDm3iv,RCPT-D2C-100192,Myra Khan,Hyderabad,Paid,Upi,431.42,INR
INV/2026/4193,02/08/2026,order_17mL9Ip0wHpL1g,RCPT-D2C-100193,Ishaan Menon,Gurugram,Paid,Upi,895.61,INR
INV/2026/4194,08/08/2026,order_zUrDvYOpde0h9M,RCPT-D2C-100194,Ishaan Reddy,Kolkata,Paid,Netbanking,1137.61,INR
INV/2026/4195,06/08/2026,order_XY9HIflS9VYkjL,RCPT-D2C-100195,Aarav Rao,Gurugram,Paid,Netbanking,3248.48,INR
INV/2026/4196,10/08/2026,order_MTStPtlEaANjEN,RCPT-D2C-100196,Ananya Khan,Indore,Paid,Upi,1151.51,INR
INV/2026/4197,10/08/2026,order_5tli0LAkML51OG,RCPT-D2C-100197,Sara Kulkarni,Noida,Paid,Wallet,223.06,INR
INV/2026/4198,01/08/2026,order_XuXjIW65XQiJKK,RCPT-D2C-100198,Ishaan Bose,Kolkata,Paid,Card,1929.33,INR
INV/2026/4199,04/08/2026,order_PxF1elYbVewCOq,RCPT-D2C-100199,Reyansh Iyer,Jaipur,Paid,Upi,1697.81,INR
INV/2026/4200,07/08/2026,order_U76Gtgb7KlCfH2,RCPT-D2C-100200,Ishaan Iyer,Hyderabad,Paid,Upi,791.77,INR
INV/2026/4201,11/08/2026,order_dAsOqZGMaFirSX,RCPT-D2C-100201,Aditi Rao,Gurugram,Paid,Upi,1126.42,INR
INV/2026/4202,13/08/2026,order_IqrBsLluCytyzE,RCPT-D2C-100202,Sara Khan,Bengaluru,Paid,Upi,1222.96,INR
INV/2026/4203,24/08/2026,order_3Po6Jq3QtHHzYF,RCPT-D2C-100203,Aarav Gupta,Bengaluru,Paid,Upi,2079.37,INR
INV/2026/4204,03/08/2026,order_uVIXWgjlOnRqgI,RCPT-D2C-100204,Advait Verma,Indore,Paid,Wallet,2179.83,INR
INV/2026/4205,02/08/2026,order_SSZ1tC0QeUurNu,RCPT-D2C-100205,Kabir Bhat,Chennai,Paid,Upi,508.02,INR
INV/2026/4206,12/08/2026,order_9mh4q39TzyOVVe,RCPT-D2C-100206,Ishaan Sethi,Mumbai,Paid,Upi,1000.29,INR
INV/2026/4207,09/08/2026,order_KWRD7r2PVC2L5D,RCPT-D2C-100207,Kavya Gupta,Coimbatore,Paid,Upi,2557.77,INR
INV/2026/4208,17/08/2026,order_IrCntMNBlrknOS,RCPT-D2C-100208,Reyansh Khan,Ahmedabad,Paid,Netbanking,513.06,INR
INV/2026/4209,19/08/2026,order_XA5OHVZPp2bPVl,RCPT-D2C-100209,Diya Bose,Hyderabad,Paid,Upi,1124.70,INR
INV/2026/4210,23/08/2026,order_vc84FTd3NsAEF5,RCPT-D2C-100210,Vivaan Sharma,Noida,Paid,Wallet,656.01,INR
INV/2026/4211,15/08/2026,order_2VmnjkRSwFn9tX,RCPT-D2C-100211,Arjun Rao,Indore,Paid,Card,1207.14,INR
INV/2026/4212,11/08/2026,order_16X0uDBYO49UrZ,RCPT-D2C-100212,Rehan Sethi,Coimbatore,Paid,Upi,1264.79,INR
INV/2026/4213,06/08/2026,order_iIteunHIRTTrMi,RCPT-D2C-100213,Reyansh Bhat,Kochi,Paid,Upi,697.45,INR
INV/2026/4214,19/08/2026,order_L508hBBn4OcF10,RCPT-D2C-100214,Ishaan Patel,Chennai,Paid,Card,638.71,INR
INV/2026/4215,11/08/2026,order_v5F3N9cmyRj7Az,RCPT-D2C-100215,Kabir Khan,Hyderabad,Paid,Upi,804.82,INR
INV/2026/4216,22/08/2026,order_1gPIsTZCOGNc9y,RCPT-D2C-100216,Vivaan Sethi,Bengaluru,Paid,Upi,1115.82,INR
INV/2026/4217,25/08/2026,order_gNy8MpuPWkz5GQ,RCPT-D2C-100217,Kabir Kulkarni,Jaipur,Paid,Card,696.89,INR
INV/2026/4218,07/08/2026,order_rt8bM2GJaLg5JU,RCPT-D2C-100218,Aditi Gupta,Mumbai,Paid,Card,636.07,INR
INV/2026/4219,06/08/2026,order_pkGibN2xToumO8,RCPT-D2C-100219,Ananya Sethi,Coimbatore,Paid,Card,2461.76,INR
INV/2026/4220,21/08/2026,order_QfLQAT6dOXPy4u,RCPT-D2C-100220,Reyansh Sharma,Mumbai,Paid,Upi,883.82,INR
INV/2026/4221,04/08/2026,order_aEn8zgvcrblxh1,RCPT-D2C-100221,Aditi Menon,Surat,Paid,Upi,2694.47,INR
INV/2026/4222,14/08/2026,order_foK1Me0I3Tbtou,RCPT-D2C-100222,Arjun Kulkarni,Indore,Paid,Upi,1234.33,INR
INV/2026/4223,10/08/2026,order_XtLnZogva5HHhd,RCPT-D2C-100223,Anika Kulkarni,Mumbai,Paid,Upi,3826.46,INR
INV/2026/4224,08/08/2026,order_cYwnRXJmhKbJ8R,RCPT-D2C-100224,Aarav Verma,Mumbai,Paid,Upi,451.74,INR
INV/2026/4225,13/08/2026,order_EIS0acQlPU19Dk,RCPT-D2C-100225,Diya Reddy,Mumbai,Paid,Card,365.20,INR
INV/2026/4226,19/08/2026,order_FGzhfVOXHUg1gS,RCPT-D2C-100226,Vivaan Khan,Noida,Paid,Upi,823.54,INR
INV/2026/4227,17/08/2026,order_zjAFQ3tLXQsn7M,RCPT-D2C-100227,Ishaan Reddy,Hyderabad,Paid,Wallet,558.47,INR
INV/2026/4228,04/08/2026,order_ZqkZgZMY8J9gxV,RCPT-D2C-100228,Anika Iyer,Surat,Paid,Upi,485.67,INR
INV/2026/4229,22/08/2026,order_qLKFJ5khNeV3Gh,RCPT-D2C-100229,Sara Bose,Hyderabad,Paid,Card,803.60,INR
INV/2026/4230,07/08/2026,order_GdtalqgFPcSNDX,RCPT-D2C-100230,Aarav Sethi,Kolkata,Paid,Upi,524.35,INR
INV/2026/4231,13/08/2026,order_MzSkrUD7gXgGCV,RCPT-D2C-100231,Aditi Das,Noida,Paid,Upi,1132.75,INR
INV/2026/4232,15/08/2026,order_M8VuceyCo1L0DL,RCPT-D2C-100232,Vihaan Bhat,Bengaluru,Paid,Upi,262.25,INR
INV/2026/4233,01/08/2026,order_p4gAUCmybMOVAB,RCPT-D2C-100233,Ananya Kulkarni,Jaipur,Paid,Card,519.66,INR
INV/2026/4234,13/08/2026,order_ume3x2wTCm4aqm,RCPT-D2C-100234,Aarav Sethi,Gurugram,Paid,Upi,1779.02,INR
INV/2026/4235,15/08/2026,order_qBbd4joul9Jnue,RCPT-D2C-100235,Diya Bose,Indore,Paid,Upi,750.14,INR
INV/2026/4236,24/08/2026,order_Y8WJzcL2j9xS7X,RCPT-D2C-100236,Aditi Sethi,Bengaluru,Paid,Upi,731.34,INR
INV/2026/4237,06/08/2026,order_Cl4H2zdgwJf010,RCPT-D2C-100237,Arjun Bose,Gurugram,Paid,Upi,443.53,INR
INV/2026/4238,02/08/2026,order_RzQmiLIn3X4JPs,RCPT-D2C-100238,Kabir Sharma,Hyderabad,Paid,Card,1000.08,INR
INV/2026/4238-DUP,02/08/2026,order_RzQmiLIn3X4JPs,RCPT-D2C-100238,Kabir Sharma,Hyderabad,Paid,Card,1000.08,INR
INV/2026/4239,11/08/2026,order_E7wAF6qZFIPdqD,RCPT-D2C-100239,Anika Reddy,Bengaluru,Paid,Upi,321.60,INR
INV/2026/4240,07/08/2026,order_M34oyeTYn6F8Hc,RCPT-D2C-100240,Aditi Sethi,Hyderabad,Paid,Card,1053.34,INR
INV/2026/4241,08/08/2026,order_vF7ZqJTagISUc1,RCPT-D2C-100241,Arjun Menon,Hyderabad,Paid,Card,436.75,INR
INV/2026/4242,01/08/2026,order_FFoOTYMaXkq4r8,RCPT-D2C-100242,Advait Joshi,Noida,Paid,Wallet,1705.42,INR
INV/2026/4243,03/08/2026,order_ibVQYUfucCfkgN,RCPT-D2C-100243,Ishaan Iyer,Chennai,Paid,Upi,362.96,INR
INV/2026/4244,03/08/2026,order_0vTXEJjUpbOHCF,RCPT-D2C-100244,Diya Kulkarni,Indore,Paid,Upi,1016.20,INR
INV/2026/4245,12/08/2026,order_zZwjEMTXrRiPoz,RCPT-D2C-100245,Sara Kulkarni,Gurugram,Paid,Upi,475.91,INR
INV/2026/4246,11/08/2026,order_kW0s6YF3Ak4wBl,RCPT-D2C-100246,Myra Rao,Ahmedabad,Paid,Upi,1829.82,INR
INV/2026/4247,21/08/2026,order_zunq2NSifmLu6M,RCPT-D2C-100247,Aarav Reddy,Hyderabad,Paid,Card,416.06,INR
INV/2026/4248,24/08/2026,order_5Swvrs6jVQq89u,RCPT-D2C-100248,Sara Khan,Chennai,Paid,Upi,589.68,INR
INV/2026/4249,14/08/2026,order_VHgLbQFl7cfTXh,RCPT-D2C-100249,Diya Rao,Noida,Paid,Upi,1158.07,INR
INV/2026/4250,09/08/2026,order_ir1fW3fXqDMqoO,RCPT-D2C-100250,Rehan Patel,Bengaluru,Paid,Upi,770.41,INR
INV/2026/4251,02/08/2026,order_TNlwVeF7eVyZN9,RCPT-D2C-100251,Aarav Sethi,Ahmedabad,Paid,Upi,1192.56,INR
INV/2026/4252,18/08/2026,order_wiCT7oYzzdeRzV,RCPT-D2C-100252,Kavya Sethi,Pune,Paid,Card,1365.42,INR
INV/2026/4253,12/08/2026,order_7fc8mq0QR6Ba7k,RCPT-D2C-100253,Diya Das,Pune,Paid,Upi,821.56,INR
INV/2026/4255,05/08/2026,order_NIBFVOUOHDaLCF,RCPT-D2C-100255,Rehan Patel,Coimbatore,Paid,Wallet,2492.41,INR
INV/2026/4256,25/08/2026,order_HuvvVphx8hljJ6,RCPT-D2C-100256,Diya Das,Jaipur,Paid,Upi,420.59,INR
INV/2026/4257,12/08/2026,order_XCPkAJ3D8tS3dr,RCPT-D2C-100257,Reyansh Bhat,Hyderabad,Paid,Upi,684.47,INR
INV/2026/4258,16/08/2026,order_uNEuzcqley577w,RCPT-D2C-100258,Ananya Sharma,Noida,Paid,Upi,1375.46,INR
INV/2026/4259,17/08/2026,order_98u8EU3mBHQa7n,RCPT-D2C-100259,Diya Bhat,Mumbai,Paid,Card,2452.30,INR
INV/2026/4260,07/08/2026,order_6mKlMcI4NuVLZ0,RCPT-D2C-100260,Myra Sethi,Noida,Paid,Upi,348.02,INR
INV/2026/4261,12/08/2026,order_Xs0dghmNILpVrx,RCPT-D2C-100261,Aarav Verma,Pune,Paid,Upi,375.44,INR
INV/2026/4262,09/08/2026,order_pqHkCBKkQ3hF0o,RCPT-D2C-100262,Reyansh Sethi,Kolkata,Paid,Upi,732.61,INR
INV/2026/4263,11/08/2026,order_2mptrUSRRnFOxC,RCPT-D2C-100263,Ishaan Verma,Chennai,Paid,Card,1766.50,INR
INV/2026/4264,08/08/2026,order_ldKCX1FBpU1JBm,RCPT-D2C-100264,Kabir Bose,Surat,Paid,Card,545.63,INR
INV/2026/4265,23/08/2026,order_IjUjPZXzyFhVm7,RCPT-D2C-100265,Aditi Reddy,Pune,Paid,Card,854.42,INR
INV/2026/4266,11/08/2026,order_WVpJ71ddpzCVTU,RCPT-D2C-100266,Ananya Rao,Bengaluru,Paid,Upi,1224.27,INR
INV/2026/4267,23/08/2026,order_bCCz7hSj6iLa6j,RCPT-D2C-100267,Ananya Gupta,Indore,Paid,Card,1118.20,INR
INV/2026/4268,20/08/2026,order_9ezRA91yOrUTju,RCPT-D2C-100268,Advait Gupta,Indore,Paid,Card,977.00,INR
INV/2026/4269,05/08/2026,order_0ZXkBpfC6HeEFk,RCPT-D2C-100269,Anika Nair,Ahmedabad,Paid,Card,924.55,INR
INV/2026/4270,18/08/2026,order_b6q1N9POPOVBZR,RCPT-D2C-100270,Aarav Verma,Hyderabad,Paid,Upi,431.69,INR
INV/2026/4271,18/08/2026,order_3g4B2u07f3LORX,RCPT-D2C-100271,Sara Sharma,Jaipur,Paid,Card,780.44,INR
INV/2026/4272,12/08/2026,order_7gGAXNaiQ9VQiB,RCPT-D2C-100272,Vihaan Kulkarni,Jaipur,Paid,Card,1342.10,INR
INV/2026/4273,09/08/2026,order_6VEisQWGJ9Evyz,RCPT-D2C-100273,Ishaan Das,Kolkata,Paid,Card,628.56,INR
INV/2026/4274,24/08/2026,order_aa2lSbMArF0tiI,RCPT-D2C-100274,Aarav Sharma,Jaipur,Paid,Card,506.49,INR
INV/2026/4275,11/08/2026,order_lHUbUe7KyZesKU,RCPT-D2C-100275,Anika Menon,Kolkata,Paid,Upi,527.03,INR
INV/2026/4277,21/08/2026,order_W1VEETHeLvdo97,RCPT-D2C-100277,Anika Sharma,Noida,Paid,Upi,906.91,INR
INV/2026/4278,02/08/2026,order_Mx5A8P9Uv42gDC,RCPT-D2C-100278,Aarav Reddy,Bengaluru,Paid,Upi,3698.80,INR
INV/2026/4279,13/08/2026,order_1rtodUkRx63idB,RCPT-D2C-100279,Vivaan Sharma,Mumbai,Paid,Upi,781.00,INR
INV/2026/4281,25/08/2026,order_AxMVaNvcs74OTC,RCPT-D2C-100281,Myra Khan,Noida,Paid,Upi,1675.61,INR
INV/2026/4282,13/08/2026,order_OnkaZPRWJp3Vod,RCPT-D2C-100282,Aditi Bhat,Bengaluru,Paid,Upi,800.78,INR
INV/2026/4283,07/08/2026,order_uIEHOvqoI2BKfK,RCPT-D2C-100283,Aditi Joshi,Noida,Paid,Upi,1195.77,INR
INV/2026/4284,16/08/2026,order_OF5edqN10e5IH8,RCPT-D2C-100284,Ananya Sharma,Chennai,Paid,Upi,917.91,INR
INV/2026/4285,18/08/2026,order_xHKcWHMk3071YR,RCPT-D2C-100285,Aditi Kulkarni,Jaipur,Paid,Upi,1528.55,INR
INV/2026/4286,14/08/2026,order_fi8KNPLJZEeWs4,RCPT-D2C-100286,Vihaan Khan,Mumbai,Paid,Upi,2136.21,INR
INV/2026/4286-DUP,14/08/2026,order_fi8KNPLJZEeWs4,RCPT-D2C-100286,Vihaan Khan,Mumbai,Paid,Upi,2136.21,INR
INV/2026/4287,19/08/2026,order_9VX8uZkbji1sKx,RCPT-D2C-100287,Diya Bose,Coimbatore,Paid,Upi,1689.04,INR
INV/2026/4289,16/08/2026,order_FXSJWxUUvafmy0,RCPT-D2C-100289,Arjun Patel,Chennai,Paid,Upi,2541.28,INR
INV/2026/4290,11/08/2026,order_5vTXapfSY6gXMR,RCPT-D2C-100290,Rehan Das,Pune,Paid,Wallet,227.82,INR
INV/2026/4291,18/08/2026,order_0OeF54eXQ2J6fI,RCPT-D2C-100291,Kavya Sethi,Surat,Paid,Upi,443.86,INR
INV/2026/4292,08/08/2026,order_PpIng6l9dIeAJN,RCPT-D2C-100292,Vivaan Bose,Hyderabad,Paid,Upi,1295.79,INR
INV/2026/4293,02/08/2026,order_3cKGUdUhYyLLJR,RCPT-D2C-100293,Rehan Reddy,Mumbai,Paid,Wallet,1206.39,INR
INV/2026/4294,14/08/2026,order_IigGelvc1UF1Us,RCPT-D2C-100294,Myra Reddy,Chennai,Paid,Upi,1225.21,INR
INV/2026/4295,16/08/2026,order_QkQN36HGyV5Pjm,RCPT-D2C-100295,Ishaan Patel,Jaipur,Paid,Upi,665.92,INR
INV/2026/4296,17/08/2026,order_PEkc2DXrbdkYmo,RCPT-D2C-100296,Diya Rao,Jaipur,Paid,Upi,1044.02,INR
INV/2026/4297,23/08/2026,order_OYw0fPWVQI1T5r,RCPT-D2C-100297,Vihaan Sharma,Bengaluru,Paid,Card,2124.80,INR
INV/2026/4297-DUP,23/08/2026,order_OYw0fPWVQI1T5r,RCPT-D2C-100297,Vihaan Sharma,Bengaluru,Paid,Card,2124.80,INR
INV/2026/4298,22/08/2026,order_Topkf7fjs6aeBh,RCPT-D2C-100298,Diya Bhat,Bengaluru,Paid,Upi,862.23,INR
INV/2026/4299,16/08/2026,order_YmGpngCCYch1Bm,RCPT-D2C-100299,Vivaan Reddy,Indore,Paid,Upi,1486.79,INR
INV/2026/4300,03/08/2026,order_ltWAHE7j29xnc4,RCPT-D2C-100300,Sara Menon,Coimbatore,Paid,Upi,622.69,INR
INV/2026/4301,05/08/2026,order_Ut6Ly1iu5JfiUQ,RCPT-D2C-100301,Aditi Verma,Hyderabad,Paid,Card,241.50,INR
INV/2026/4302,08/08/2026,order_UDt8nbezqNhlLE,RCPT-D2C-100302,Arjun Bose,Hyderabad,Paid,Upi,613.06,INR
INV/2026/4303,19/08/2026,order_SczHpKmvpRS10i,RCPT-D2C-100303,Aarav Verma,Chennai,Paid,Card,1400.27,INR
INV/2026/4304,03/08/2026,order_zqDVB7n5sVRmgM,RCPT-D2C-100304,Vivaan Bose,Mumbai,Paid,Upi,841.16,INR
INV/2026/4305,04/08/2026,order_NYbTmXhy3X5iUN,RCPT-D2C-100305,Vihaan Sethi,Mumbai,Paid,Upi,1701.71,INR
INV/2026/4306,24/08/2026,order_yI8WtMjd03z9oy,RCPT-D2C-100306,Ishaan Rao,Mumbai,Paid,Upi,1327.40,INR
INV/2026/4307,24/08/2026,order_EiNo4cjd09jRph,RCPT-D2C-100307,Arjun Patel,Pune,Paid,Upi,841.63,INR
INV/2026/4308,03/08/2026,order_taUZzh2RD8gMtI,RCPT-D2C-100308,Vivaan Patel,Kochi,Paid,Upi,3323.17,INR
INV/2026/4309,12/08/2026,order_tVSOdljWtnpbaF,RCPT-D2C-100309,Rehan Gupta,Chennai,Paid,Upi,1495.43,INR
INV/2026/4310,06/08/2026,order_mwqicvF2Xe87XH,RCPT-D2C-100310,Vihaan Joshi,Hyderabad,Paid,Card,1615.47,INR
INV/2026/4311,17/08/2026,order_B2IMX3SnRnUbIb,RCPT-D2C-100311,Rehan Das,Gurugram,Paid,Upi,364.66,INR
INV/2026/4312,14/08/2026,order_pNYLgTMzDONoIC,RCPT-D2C-100312,Vivaan Reddy,Kolkata,Paid,Card,586.01,INR
INV/2026/4313,13/08/2026,order_q1wY7mDjqMiCIv,RCPT-D2C-100313,Aarav Kulkarni,Bengaluru,Paid,Upi,718.51,INR
INV/2026/4314,08/08/2026,order_ZyElldOCsdLYse,RCPT-D2C-100314,Advait Bose,Ahmedabad,Paid,Upi,495.26,INR
INV/2026/4315,13/08/2026,order_rf1nzld7ZSybp1,RCPT-D2C-100315,Kavya Iyer,Bengaluru,Paid,Upi,708.27,INR
INV/2026/4316,20/08/2026,order_LstHxsc7owFieW,RCPT-D2C-100316,Ishaan Joshi,Kochi,Paid,Card,1233.34,INR
INV/2026/4317,15/08/2026,order_AaZO4ebteX2qvf,RCPT-D2C-100317,Kavya Joshi,Hyderabad,Paid,Upi,673.31,INR
INV/2026/4318,10/08/2026,order_O1mHHqhApmFzjc,RCPT-D2C-100318,Ishaan Menon,Noida,Paid,Wallet,385.69,INR
INV/2026/4319,23/08/2026,order_nzYQeEhtqJKe1z,RCPT-D2C-100319,Sara Joshi,Kolkata,Paid,Upi,2636.36,INR
INV/2026/4320,12/08/2026,order_KKNUHOuMVnBUEx,RCPT-D2C-100320,Vivaan Nair,Chennai,Paid,Upi,1403.08,INR
INV/2026/4321,17/08/2026,order_0iRtFVAegejvxE,RCPT-D2C-100321,Arjun Das,Jaipur,Paid,Wallet,1443.08,INR
INV/2026/4322,16/08/2026,order_9feqwSg6jncEK0,RCPT-D2C-100322,Aditi Reddy,Surat,Paid,Upi,1410.35,INR
INV/2026/4323,01/08/2026,order_9ZnfhgiN8Qf2K2,RCPT-D2C-100323,Ishaan Sharma,Ahmedabad,Paid,Card,633.45,INR
INV/2026/4324,14/08/2026,order_cq8iWrAHFAuQaG,RCPT-D2C-100324,Kavya Rao,Surat,Paid,Upi,1350.34,INR
INV/2026/4325,03/08/2026,order_FP6eFAjCHcqIR4,RCPT-D2C-100325,Vivaan Rao,Coimbatore,Paid,Upi,1115.17,INR
INV/2026/4326,02/08/2026,order_ulg922GSmXyuxW,RCPT-D2C-100326,Vihaan Reddy,Ahmedabad,Paid,Upi,1424.00,INR
INV/2026/4328,01/08/2026,order_PpnTH0ZFeCH9XO,RCPT-D2C-100328,Advait Gupta,Coimbatore,Paid,Card,980.76,INR
INV/2026/4329,22/08/2026,order_NlmfvwjiQRNhzN,RCPT-D2C-100329,Myra Gupta,Gurugram,Paid,Upi,295.35,INR
INV/2026/4330,23/08/2026,order_WNf9SdPuTXisg7,RCPT-D2C-100330,Kabir Kulkarni,Kolkata,Paid,Upi,449.30,INR
INV/2026/4331,11/08/2026,order_5XIADMUV6LqefI,RCPT-D2C-100331,Advait Khan,Gurugram,Paid,Upi,1074.05,INR
INV/2026/4332,01/08/2026,order_DFS3bovJnlpExO,RCPT-D2C-100332,Ishaan Menon,Gurugram,Paid,Upi,1526.88,INR
INV/2026/4333,02/08/2026,order_G2yAiSz4VvCCGj,RCPT-D2C-100333,Myra Das,Kochi,Paid,Card,382.69,INR
INV/2026/4334,23/08/2026,order_scAK1z5kX4hIpa,RCPT-D2C-100334,Anika Sethi,Bengaluru,Paid,Upi,876.16,INR
INV/2026/4335,16/08/2026,order_hNvGx5YcK69tmf,RCPT-D2C-100335,Vivaan Reddy,Bengaluru,Paid,Upi,760.95,INR
INV/2026/4336,13/08/2026,order_uxqmQ7fxToZ69F,RCPT-D2C-100336,Diya Sharma,Indore,Paid,Upi,1427.80,INR
INV/2026/4337,03/08/2026,order_JtW7jL9YbvqyAF,RCPT-D2C-100337,Arjun Menon,Mumbai,Paid,Card,1644.58,INR
INV/2026/4338,19/08/2026,order_ljj9BxZHPigW7Q,RCPT-D2C-100338,Anika Das,Kochi,Paid,Upi,1195.47,INR
INV/2026/4339,17/08/2026,order_YDtuMPnOBkM9LT,RCPT-D2C-100339,Aarav Nair,Mumbai,Paid,Upi,950.05,INR
INV/2026/4340,20/08/2026,order_LkWNQL0V9wr5c8,RCPT-D2C-100340,Ananya Khan,Mumbai,Paid,Wallet,992.16,INR
INV/2026/4341,06/08/2026,order_5TN12CZo8VQavi,RCPT-D2C-100341,Advait Gupta,Kolkata,Paid,Upi,792.80,INR
INV/2026/4342,12/08/2026,order_2bXD0mQOlNPoU7,RCPT-D2C-100342,Rehan Verma,Chennai,Paid,Card,915.55,INR
INV/2026/4343,16/08/2026,order_EGswWhmKn47CbM,RCPT-D2C-100343,Vivaan Menon,Pune,Paid,Wallet,483.89,INR
INV/2026/4344,25/08/2026,order_weaNLHcPav2klI,RCPT-D2C-100344,Arjun Nair,Kochi,Paid,Upi,999.17,INR
INV/2026/4345,25/08/2026,order_hDU7q88AD4fGIn,RCPT-D2C-100345,Advait Sharma,Surat,Paid,Upi,854.77,INR
INV/2026/4346,09/08/2026,order_PvDmWOJFkvSceH,RCPT-D2C-100346,Ananya Das,Ahmedabad,Paid,Wallet,3489.95,INR
INV/2026/4347,12/08/2026,order_MALrRxJVdEutUp,RCPT-D2C-100347,Arjun Verma,Hyderabad,Paid,Card,889.19,INR
INV/2026/4348,22/08/2026,order_hKO9heAfCf9m4y,RCPT-D2C-100348,Sara Khan,Surat,Paid,Upi,848.26,INR
INV/2026/4350,21/08/2026,order_FSNl4dUBEPsV8p,RCPT-D2C-100350,Arjun Das,Jaipur,Paid,Card,785.68,INR
INV/2026/4351,11/08/2026,order_f0KcldufXHOdsN,RCPT-D2C-100351,Aditi Kulkarni,Jaipur,Paid,Card,1611.62,INR
INV/2026/4352,10/08/2026,order_BBHbTeIJbOXdut,RCPT-D2C-100352,Vihaan Verma,Kochi,Paid,Upi,667.63,INR
INV/2026/4353,05/08/2026,order_BGvTyUUASuFsnS,RCPT-D2C-100353,Sara Khan,Coimbatore,Paid,Upi,745.77,INR
INV/2026/4354,13/08/2026,order_1XwXt10J699ui9,RCPT-D2C-100354,Aarav Rao,Kolkata,Paid,Upi,1694.09,INR
INV/2026/4355,25/08/2026,order_1kwsewjKzbfUek,RCPT-D2C-100355,Rehan Rao,Jaipur,Paid,Wallet,886.40,INR
INV/2026/4356,13/08/2026,order_NXuZuCwcanHM2i,RCPT-D2C-100356,Anika Joshi,Coimbatore,Paid,Card,888.98,INR
INV/2026/4357,15/08/2026,order_TmrMX1y2flpvGR,RCPT-D2C-100357,Kabir Sharma,Kolkata,Paid,Upi,675.79,INR
INV/2026/4358,08/08/2026,order_2qDLFyyjgpjT8w,RCPT-D2C-100358,Rehan Khan,Coimbatore,Paid,Netbanking,236.21,INR
INV/2026/4359,17/08/2026,order_mvX8vMvpYMCl1E,RCPT-D2C-100359,Advait Verma,Bengaluru,Paid,Upi,2880.33,INR
INV/2026/4360,14/08/2026,order_MQGCyGTRUh38rL,RCPT-D2C-100360,Vihaan Joshi,Mumbai,Paid,Upi,2607.29,INR
INV/2026/4361,12/08/2026,order_JsGKZatD7F3W44,RCPT-D2C-100361,Anika Rao,Kolkata,Paid,Upi,445.76,INR
INV/2026/4362,16/08/2026,order_OSHlmxPHnfpMPp,RCPT-D2C-100362,Reyansh Bose,Chennai,Paid,Card,424.31,INR
INV/2026/4363,09/08/2026,order_flDMsogZzufv5Q,RCPT-D2C-100363,Kabir Iyer,Kochi,Paid,Upi,1489.60,INR
INV/2026/4364,12/08/2026,order_Fc307tG0qQcgDi,RCPT-D2C-100364,Aarav Khan,Coimbatore,Paid,Wallet,1854.69,INR
INV/2026/4364-DUP,12/08/2026,order_Fc307tG0qQcgDi,RCPT-D2C-100364,Aarav Khan,Coimbatore,Paid,Wallet,1854.69,INR
INV/2026/4365,07/08/2026,order_KroYOwBGI2LiUd,RCPT-D2C-100365,Aarav Das,Chennai,Paid,Upi,1286.21,INR
INV/2026/4366,02/08/2026,order_Jmuj6H5V22bCgf,RCPT-D2C-100366,Aditi Reddy,Bengaluru,Paid,Card,2668.85,INR
INV/2026/4367,17/08/2026,order_a6gRmDo5SEryIm,RCPT-D2C-100367,Vivaan Verma,Mumbai,Paid,Upi,891.84,INR
INV/2026/4368,18/08/2026,order_GU2YaNxu3bBL6b,RCPT-D2C-100368,Vivaan Rao,Bengaluru,Paid,Wallet,634.43,INR
INV/2026/4369,17/08/2026,order_53uek68T4Mvii3,RCPT-D2C-100369,Arjun Joshi,Pune,Paid,Card,364.29,INR
INV/2026/4370,13/08/2026,order_HKI69qqu2zSer0,RCPT-D2C-100370,Advait Gupta,Chennai,Paid,Card,163.88,INR
INV/2026/4371,22/08/2026,order_wohjZnwLneZ13n,RCPT-D2C-100371,Sara Kulkarni,Surat,Paid,Upi,607.12,INR
INV/2026/4372,15/08/2026,order_ukyClIsrfIZ5wD,RCPT-D2C-100372,Aditi Verma,Pune,Paid,Upi,1436.28,INR
INV/2026/4373,20/08/2026,order_JWn6tBXsldHh61,RCPT-D2C-100373,Advait Rao,Noida,Paid,Upi,614.13,INR
INV/2026/4374,23/08/2026,order_lFv4pyqXQdVlQz,RCPT-D2C-100374,Kavya Verma,Kolkata,Paid,Card,1932.88,INR
INV/2026/4375,06/08/2026,order_8BxKj2WIGmJYWr,RCPT-D2C-100375,Vivaan Sethi,Coimbatore,Paid,Upi,551.82,INR
